0,1,2,3
8. Nepal Bangladesh Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"1,837.23","3,706.00","2,613.36"
Due from Nepal Rastra Bank,"8,978.96","6,890.13","6,762.11"
Placement with Bank and Financial Institutions,"3,393.27","2,259.78","3,535.63"
Derivative financial instruments,29.38,30.81,31.23
Other trading assets,97.24,93.21,95.22
Loan and advances to B/FIs,"1,306.90","1,380.57","1,768.83"
Loans and advances to customers,"36,178.23","40,878.52","52,729.58"
Investment securities,"4,578.10","4,766.33","5,923.67"
Current tax assets,49.89,61.03,26.99
Investment in susidiaries,-,200.00,200.00
Investment in associates,-,-,-
Investment property,23.20,87.83,346.44
Property and equipment,237.93,371.54,"1,502.20"
