0,1,2,3
Net Interest Income,"12,258.81","10,763.25","10,154.16"
Fees and commission income,"2,712.01","2,285.55","1,534.71"
Fees and commission expense,389.53,317.50,323.92
Net Fee and commission income,"2,322.48","1,968.06","1,210.79"
"Net Interest, Fee and commission income","14,581.29","12,731.31","11,364.95"
Net trading income,147.04,128.65,162.72
Other operating income,298.39,412.47,127.29
Total operating income,"15,026.71","13,272.43","11,654.96"
Impairment charge/(reversal) for loans and other losses,721.96,"3,886.81","9,724.75"
Net operating income,"14,304.75","9,385.62","1,930.21"
Personnel expenses,"4,961.10","4,468.60","3,830.33"
Other operating expense,"2,026.03","2,061.81","1,801.40"
Depreciation &Amortization,780.82,821.50,796.15
Operating Profit,"6,536.80","2,033.70","(4,497.66)"
Non operating income,9.46,10.32,24.06
Non operating expense,377.89,"1,097.30","1,079.46"
Profit before income tax,"6,168.37",946.72,"(5,553.06)"
Income Tax Expense,-,-,-
Current Tax,"1,762.20",207.14,877.74
Deferred Tax,(38.60),38.08,"(2,567.65)"
Profit for the period,"4,444.77",701.50,"(3,863.16)"
