0,1,2,3
10. Kumari Bank Limited,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"8,821.14","9,154.31","7,580.24"
Due from Nepal Rastra Bank,"3,580.51","5,821.52","8,486.45"
Placement with Bank and Financial Institutions,384.38,852.45,"4,840.71"
Derivative financial instruments,143.29,46.52,-
Other trading assets,-,-,-
Loan and advances to B/FIs,"3,066.05","3,796.21","5,123.68"
Loans and advances to customers,"73,120.31","110,717.26","137,897.93"
Investment securities,"9,121.57","12,757.71","22,697.94"
Current tax assets,16.11,328.29,257.14
Investment in subsidiaries,200.00,220.00,220.00
Investment in associates,20.00,130.06,155.02
Investment property,88.42,60.35,128.11
Property and equipment,661.73,"1,383.66","1,258.56"
Goodwill and Intangible assets,97.39,206.83,197.57
Deferred tax assets,47.80,10.00,-
Other assets,887.97,486.77,939.46
TOTAL ASSETS,"100,256.68","145,971.94","189,782.82"
,,,
Liabilities,"88,389.13","128,703.77","170,890.59"
Due to Bank and Financial Institutions,"12,168.48","7,475.89","14,731.92"
Due to Nepal Rastra Bank,"1,433.25",225.36,"5,088.97"
Derivative financial instruments,-,-,3.27
Deposits from customers,"73,201.35","116,547.03","145,838.23"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
