0,1,2,3
Interest Income,"9,807.55","9,980.92","8,552.92"
Interest Expenses,"6,027.66","6,405.72","5,291.36"
Net Interest Income,"3,779.89","3,575.21","3,261.56"
Fee and commission income,520.28,543.67,637.34
Fee and commission expense,60.13,54.35,76.42
Net Fee and commission income,460.16,489.33,560.92
"Net Interest, Fee and commission income","4,240.05","4,064.53","3,822.48"
Net trading income,322.25,322.27,309.28
Other operating income,100.23,52.22,109.59
Total operating income,"4,662.53","4,439.03","4,241.34"
Impairment charge/(reversal) for loans and other losses,64.56,563.66,(127.15)
Net operating income,"4,597.98","3,875.36","4,368.49"
Personnel expenses,"1,159.36","1,111.88","1,154.87"
Other operating expenses,528.45,554.08,564.38
Depreciation &Amortization,165.32,115.45,121.37
Operating Profit,"2,744.84","2,093.95","2,527.86"
Non operating income,35.61,12.50,11.86
Non operating expense,-,-,-
Profit before income tax,"2,780.45","2,106.45","2,539.72"
Income Tax Expense,,,
Current Tax,905.19,669.80,840.38
Deferred Tax,(21.70),(24.04),(27.07)
Profit/Loss for the period,"1,896.96","1,460.70","1,726.41"
