0,1,2,3
Particulars,2017-18,2018-19,2019-20
Deferred tax assets,-,-,-
Other assets,893.47,973.41,"1,630.48"
TOTAL ASSETS,"144,811.15","170,077.53","185,018.81"
Due to Bank and Financial Institutions,916.08,609.22,"1,182.83"
Due to Nepal Rastra Bank,26.71,"1,206.07",32.89
Derivative financial instruments,0.02,"1,446.39",-
Deposits from customers,"115,511.71","129,568.15","143,545.48"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,77.26,92.88,140.98
Other liabilities,"11,076.02","18,460.92","20,426.68"
Debt securities issued,"1,068.85","1,068.85","1,068.85"
Subordinated Liabilities,-,-,-
Equity,"16,134.51","17,625.06","18,621.11"
Share capital,"8,106.86","8,106.86","8,510.21"
Share premium,238.47,238.47,238.47
Retained earnings,"1,739.04","2,324.15","1,727.53"
Reserves,"6,050.14","6,955.58","8,144.90"
TOTAL EQUITY AND LIABILITIES,"144,811.15","170,077.53","185,018.81"
Interest Income,"10,103.45","13,019.44","13,956.19"
Interest Expenses,"5,233.69","7,320.85","8,645.78"
Net Interest Income,"4,869.76","5,698.59","5,310.41"
Fee and commission income,945.38,"1,025.00","1,144.44"
Fee and commission expense,123.29,133.61,128.50
Net Fee and commission income,822.09,891.39,"1,015.93"
"Net Interest, Fee and commission income","5,691.85","6,589.99","6,326.35"
Net trading income,195.90,306.92,263.57
Other operating income,92.64,99.54,110.42
Total operating income,"5,980.39","6,996.45","6,700.33"
Impairment charge/(reversal) for loans and other losses,132.12,136.76,548.47
Net operating income,"5,848.28","6,859.69","6,151.86"
Personnel expenses,"1,492.67","1,653.30","1,636.28"
Other operating expenses,584.53,726.83,793.32
Depreciation &Amortization,85.37,127.44,149.84
Operating Profit,"3,685.70","4,352.12","3,572.43"
Non-operating income,-,-,-
Non-operating expense,3.61,4.34,0.61
