0,1,2,3
Net fee and commission income,814.16,847.55,797.70
"Net interest, fee and commission income","5,339.15","5,499.31","7,276.32"
Net trading income,426.74,377.68,217.27
Other operating income,51.67,152.71,158.21
Total operating income,"5,817.55","6,029.70","7,651.80"
Impairment charge/(reversal) for loans and other losses,248.28,554.39,"1,053.11"
Net operating income,"5,569.27","5,475.31","6,598.70"
Personnel expenses,"1,439.20","1,549.41","1,761.95"
Other operating expenses,656.14,625.43,704.68
Depreciation and Amortization,162.98,345.91,361.74
Operating Profit,"3,310.96","2,954.56","3,770.33"
Non-operating income,1.32,6.29,14.22
Non-operating expense,3.04,12.04,54.99
Profit before income tax,"3,309.23","2,948.81","3,729.56"
Income Tax Expense,-,,-
Current Tax,978.18,"1,011.15","1,144.13"
Deferred Tax,13.23,(155.46),(20.36)
Profit for the period,"2,317.82","2,093.12","2,605.79"
