0,1,2,3
17. Prime Commercial Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and Cash Equivalents,"11,620.91","14,305.37","11,435.84"
Due from Nepal Rastra Bank,"8,860.33","12,049.74","9,697.97"
Placement with Bank and Financial Institutions,144.90,-,"1,152.69"
Derivative financial instruments,-,-,-
Other trading assets,-,-,-
Loans and Advances to B/FIs,"6,672.76","6,515.73","8,938.36"
Loans and advances to customers,"147,053.90","153,067.87","181,029.57"
Investment securities,"31,402.84","29,067.66","47,583.46"
Current tax assets,640.05,458.58,-
Investment in Subsidiaries,-,-,46.02
Investment in associates,46.02,46.02,68.39
Investment property,529.81,"1,413.05","1,911.87"
Property and equipment,"1,973.69","2,055.35","2,007.22"
Goodwill and Intangible assets,379.54,371.84,373.92
Deferred tax assets,123.17,270.51,389.16
Other assets,913.96,"1,206.08","2,367.92"
TOTAL ASSETS,"210,361.90","220,827.81","267,002.38"
Liabilities,"183,356.19","193,654.38","236,350.04"
Due to Bank and Financial Institutions,"6,096.83","4,511.66","10,120.80"
Due to Nepal Rastra Bank,"4,556.14",-,-
Derivative financial instruments,-,-,-
Deposits from customers,"160,203.35","174,058.04","211,160.28"
Borrowing,-,"2,630.00","2,674.00"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"3,354.35","3,302.48","3,235.53"
Debt securities issued,"9,145.52","9,152.21","9,159.43"
Subordinated Liabilities,-,-,-
Equity,"27,005.71","27,173.42","30,652.35"
Share Capital,"18,656.32","19,402.58","19,402.58"
Share premium,-,-,-
Retained earnings,"1,738.85",(666.95),995.34
Reserves,"6,610.53","8,437.80","10,254.43"
Total Liabilities and Equity,"210,361.90","220,827.81","267,002.38"
,,,
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest Income,"18,301.36","23,159.25","25,799.30"
Interest Expense,"12,114.39","16,018.50","17,916.53"
Net Interest Income,"6,186.97","7,140.75","7,882.78"
Fee and commission income,"1,230.74","1,354.54","1,874.21"
Fee and commission expense,142.55,178.31,195.44
Net Fee and Commission Income,"1,088.19","1,176.23","1,678.77"
"Net Interest, Fee and Commission Income","7,275.16","8,316.98","9,561.54"
Net trading income,231.16,150.35,153.61
Other operating income,156.91,142.90,118.95
Total operating income,"7,663.23","8,610.23","9,834.11"
