0,1,2,3
Fees and commission expense,372.47,487.34,829.18
Net fee and commission income,"3,172.26","2,965.30","2,653.77"
"Net interest, fee and commission income","24,667.86","27,331.78","32,072.61"
Net trading income,"1,612.43",457.87,191.31
Other operating income,"1,511.13","1,498.92","1,231.53"
Total operating income,"27,791.42","28,823.64","33,495.46"
Impairment charge/(reversal) for loans and other losses,"1,342.43","2,202.14","5,180.13"
Net operating income,"26,449.00","26,621.50","28,315.33"
Personnel expenses,"8,696.63","9,475.95","11,473.51"
Other operating expenses,"3,179.85","2,715.14","3,078.18"
Depreciation and Amortization,690.55,"1,371.15","1,427.54"
Operating Profit,"13,881.97","13,059.27","12,336.10"
Non-operating income,644.04,737.29,294.02
Non-operating expense,3.21,172.33,26.37
Profit before income tax,"14,522.79","13,624.23","12,603.75"
Income Tax Expense,-,-,"1,791.47"
Current Tax,"3,210.15","4,167.75","3,804.71"
Deferred Tax,"1,400.25",14.62,442.92
Profit for the period,"9,912.40","9,441.87","8,356.12"
