0,1,2,3,4
S.N.,Sector,Percent of Total Loan (mid-July),,
,,FY 2021/22,FY 2022/23,FY 2023/24
1,Agriculture Forest,7.18,7.65,7.09
2,Fishery,0.28,0.31,0.32
3,Mining,0.20,0.26,0.25
4,"Agriculture, Forestry & Beverage Prod. Related",5.25,5.51,5.90
5,Non-food Production Related,11.60,11.86,12.13
7,Construction,3.71,3.88,4.00
8,"Power, Gas and Water",5.74,6.93,7.99
9,"Metal Products, Machineries, Elec. and Installation",1.68,1.57,1.47
10,"Transport, Warehousing and Communication",1.99,1.94,1.69
11,Wholesalers and Retailers,20.75,20.77,19.92
12,"Finance, Insurance and Real Estate",7.55,7.11,7.03
13,Hotel and Restaurant,4.21,4.22,4.36
14,Other Services,4.25,4.13,3.97
15,Consumable Loans,18.14,17.81,18.41
16,Local Government,0.03,0.03,0.03
17,Others,7.45,6.03,5.44
,Total Loan,100.00,100.00,100
