0,1,2,3
Investment in associates,0.00,0.00,0.00
Investment property,24.66,24.66,24.66
Property and equipment,932.39,935.25,831.36
Goodwill and Intangible assets,13.65,20.50,15.94
Deferred tax assets,0.00,0.00,0.00
Other assets,257.96,270.24,609.68
TOTAL ASSETS,84857.79,91206.81,100918.63
Due to Bank and Financial Institutions,0.00,0.00,605.67
Due to Nepal Rastra Bank,4.00,18.60,1110.84
Derivative financial instruments,0.00,0.00,0.00
Deposits from customers,72922.28,76913.75,82722.03
Borrowing,0.00,0.00,0.00
Current Tax Liabilities,10.95,0.00,58.16
Provisions,15.69,17.44,15.17
Deferred tax liabilities,318.29,172.67,312.04
Other liabilities,586.30,571.90,1088.68
Debt securities issued,0.00,0.00,1040.02
Subordinated Liabilities,1041.10,1041.22,0.00
Equity,9959.17,12471.24,13966.02
Share capital,5629.58,7072.90,8063.10
Share premium,0.00,929.93,0.00
Retained earnings,960.17,858.23,1374.92
Reserves,3369.42,3610.19,4528.00
TOTAL EQUITY AND LIABILITIES,84857.79,91206.81,100918.63
Interest Income,6165.66,8365.62,9807.55
Interest Expenses,3550.90,5306.50,6027.66
Net Interest Income,2614.75,3059.13,3779.89
Fee and commission income,486.87,539.95,520.28
Fee and commission expense,46.16,50.32,60.13
Net Fee and commission income,440.72,489.64,460.16
"Net Interest, Fee and commission income",3055.47,3548.76,4240.05
Net trading income,217.96,225.71,322.25
Other operating income,34.20,140.66,100.23
Total operating income,3307.63,3915.13,4662.53
Impairment charge/(reversal) for loans and other losses,-8.86,465.94,64.56
Net operating income,3316.50,3449.19,4597.98
Personnel expenses,953.71,1030.30,1159.36
Other operating expenses,450.79,442.10,528.45
Depreciation & Amortisation,104.80,102.90,165.32
