0,1,2,3
Loans and advances to customers,"345,682.98","375,950.99","463,889.80"
Investment securities,"54,409.31","131,787.82","138,950.60"
Current tax assets,"3,080.50","5,126.76","6,198.68"
Investment in subsidiaries,228.84,228.84,228.84
Investment in associates,271.39,167.24,275.50
Investment property,486.54,433.41,433.89
Property and equipment,"14,161.10","14,857.29","15,564.98"
Goodwill and Intangible assets,149.24,372.14,365.71
Deferred tax assets,341.10,647.03,-
Other assets,"31,645.11","23,465.98","18,711.98"
TOTAL ASSETS,"553,491.00","637,249.94","755,073.28"
,,-,
Liabilities,"472,314.44","555,718.19","661,678.72"
Due to Bank and Financial Institutions,"9,506.22","3,840.45","3,353.69"
Due to Nepal Rastra Bank,432.30,314.66,"18,573.08"
Derivative financial instruments,"5,504.43","6,473.08","8,474.69"
Deposits from customers,"426,117.18","516,061.54","589,465.08"
Borrowing,"1,071.41","1,071.00",598.53
Current Tax Liabilities,-,-,-
Provisions,131.44,431.98,517.16
Deferred tax liabilities,"3,764.51","4,002.84","5,610.56"
Other liabilities,"25,786.95","21,027.68","14,598.33"
Debt securities issued,-,"2,494.95","20,487.60"
Subordinated Liabilities,-,-,-
Equity,"81,176.55","81,531.75","93,394.56"
Share capital,"33,264.18","29,844.08","33,811.58"
Share premium,"3,262.81","7,222.63","5,864.60"
Retained earnings,"7,118.67","6,138.10","10,840.69"
Reserves,"37,530.88","38,326.95","42,877.70"
TOTAL EQUITY AND LIABILITIES,"553,491.00","637,249.94","755,073.28"
,,#REF!,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"30,684.57","32,981.88","31,353.15"
Interest Expenses,"23,215.76","28,344.19","28,165.15"
Net Interest Income,"22,030.65","22,072.55","20,541.89"
Fee and commission income,"8,724.30","8,348.93","9,011.39"
Fee and commission expense,"1,191.40",990.74,"1,258.90"
Net Fee and commission income,"2,428.06","2,573.68","2,353.18"
"Net Interest, Fee and commission income","21,221.18","19,440.63","18,247.42"
Net trading income,"7,571.74","6,812.12","8,462.44"
Other operating income,481.89,989.71,"1,542.71"
Total operating income,"20,965.68","20,112.42","20,027.70"
Impairment charge/(reversal) for loans and other losses,"7,899.29","7,849.63","9,033.80"
Net operating income,"21,069.42","19,920.19","19,255.24"
Personnel expenses,"13,307.55","12,421.64","14,034.54"
Other operating expenses,"3,996.37","4,443.23","4,720.23"
Depreciation &Amortization,899.54,"1,103.20","1,326.43"
Operating Profit,"12,398.03","10,409.06","9,711.51"
Non operating income,"5,047.07","3,624.30","4,766.94"
Non operating expense,102.24,327.29,227.97
Profit before income tax,"5,723.99","10,634.60","9,950.39"
Income Tax Expense,"4,611.66","4,643.28","6,107.23"
