0,1,2,3
Other operating income,472.85,215.03,534.46
Total operating income,"13,038.92","19,857.19","20,653.93"
Impairment charge/(reversal) for loans and other losses,466.43,"3,426.14","3,616.61"
Net operating income,"12,572.49","16,431.05","17,037.32"
Personnel expenses,"3,290.73","4,234.42","4,782.11"
Other operating expenses,"1,446.86","1,875.36","2,245.00"
Depreciation &Amortization,647.13,790.77,991.25
Operating Profit,"7,187.77","9,530.50","9,018.96"
Non operating income,3.27,8.53,7.34
Non operating expense,164.46,273.50,158.91
Profit before income tax,"7,026.58","9,265.52","8,867.39"
Income Tax Expense,,-,-
Current Tax,"2,165.53","2,788.10","2,355.22"
Deferred Tax,(98.17),(216.94),374.71
Profit/Loss for the period,"4,959.22","6,694.36","6,137.45"
