0,1,2,3
Net operating income,"2,557.04","2,750.65","2,415.52"
Personnel expenses,854.94,902.91,940.52
Other operating expenses,553.54,490.88,523.02
Depreciation &Amortization,122.60,141.17,146.54
Operating Profit,"1,025.97","1,215.69",805.43
Non operating income,39.30,41.43,53.12
Non operating expense,68.18,5.57,15.65
Profit before income tax,997.08,"1,251.56",842.90
Income Tax Expense,,,
Current Tax,306.75,440.10,285.29
Deferred Tax,13.93,6.93,(71.71)
Profit/Loss for the period,676.41,804.53,629.32
