0,1,2,3
19. NMB Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"11,098.35","13,887.37","12,787.64"
Due from Nepal Rastra Bank,"15,250.00","19,218.51","13,747.31"
Placement with Bank and Financial Institutions,"3,304.23","2,717.15","3,782.29"
Derivative financial instruments,"10,066.30","17,161.39","5,293.77"
Other trading assets,266.89,2.66,-
Loan and advances to B/FIs,"4,665.86","5,194.47","5,920.09"
Loans and advances to customers,"115,668.47","151,014.12","174,948.36"
Investment securities,"14,998.76","17,453.56","31,724.85"
Current tax assets,61.46,92.75,55.33
Investment in subsidiaries,372.49,372.49,372.49
Investment in associates,-,-,-
Investment property,79.65,97.94,295.16
Property and equipment,"1,755.79","1,741.91","1,764.13"
Goodwill and Intangible assets,125.85,112.54,226.51
Deferred tax assets,264.42,249.01,338.96
Other assets,"1,473.39","2,230.98","3,893.71"
,,,
Total Assets,"179,451.91","231,546.86","255,150.61"
,,,-
Liabilities,"158,516.53","207,603.08","228,279.65"
Due to Bank and Financial Institutions,"3,150.01","1,964.52","2,082.44"
Due to Nepal Rastra Bank,"4,832.50","7,597.98","8,996.37"
Derivative financial instrument,"10,008.21","17,127.04","5,351.10"
Deposits from customers,"131,660.37","164,489.29","184,817.11"
Borrowing,"3,416.31","7,443.81","12,997.40"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"3,169.29","3,686.46","5,907.39"
Debt securities issued,"2,279.83","5,293.99","8,127.85"
Subordinated Liabilities,-,-,-
,,,
Equity,"20,935.39","23,943.77","26,870.96"
Share capital,"13,950.99","16,325.96","18,366.71"
Share premium,120.17,-,-
Retained earnings,"1,737.22","2,515.34","1,550.78"
Reserves,"5,127.01","5,102.47","6,953.47"
