0,1,2,3
Fee and commission income,529.32,822.62,962.86
Fee and commission expense,35.83,38.90,144.68
Net Fee and commission income,493.49,783.72,818.17
"Net Interest, Fee and commission income","4,066.69","5,861.23","7,035.34"
Net trading income,355.32,420.83,377.87
Other operating income,15.44,390.33,527.95
Total operating income,"4,437.45","6,672.39","7,941.16"
Impairment charge/(reversal) for loans and other losses,461.79,475.28,812.10
Net operating income,"3,975.66","6,197.11","7,129.06"
Personnel expenses,"1,408.60","2,023.92","2,332.99"
Other operating expenses,703.07,884.10,683.39
Depreciation &Amortization,177.91,283.30,535.21
Operating Profit,"1,686.08","3,005.79","3,577.48"
Non-operating income,23.34,33.90,18.32
Non-operating expense,0.03,0.29,1.98
Profit before income tax,"1,709.38","3,039.40","3,593.81"
Income Tax Expense,-,,-
Current Tax,560.13,929.31,"1,029.42"
Deferred Tax,(9.26),139.36,(15.42)
Profit for the Period,"1,158.51","1,970.73","2,579.81"
