0,1,2,3
Retained earnings,"1,349.47",941.86,"1,175.25"
Reserves,"1,367.82","2,332.77","2,815.18"
TOTAL EQUITY AND LIABILITIES,"71,858.87","82,782.91","94,610.74"
Interest Income,5427.83,7647.36,9206.43
Interest Expenses,3113.43,4776.43,5621.44
Net Interest Income,2314.40,2870.93,3584.99
Fee and commission income,517.25,619.91,782.28
Fee and commission expense,161.13,159.34,120.23
Net Fee and commission income,356.13,460.57,662.05
"Net Interest, Fee and commission income",2670.52,3331.50,4247.04
Net trading income,0.00,0.00,264.6
Other operating income,148.44,227.69,64.61
Total operating income,2818.97,3559.19,4576.25
Impairment charge/(reversal) for loans and other losses,74.91,48.59,103.52
Net operating income,2744.05,3510.60,4472.72
Personnel expenses,688.90,908.49,1150.27
Other operating expenses,312.59,442.24,630.4
Depreciation & Amortisation,47.53,112.41,141.43
Operating Profit,1695.03,2047.45,2550.63
Non operating income,13.92,68.20,1.18
Non operating expense,85.92,164.38,45.91
Profit before income tax,1623.03,1951.27,2505.89
Income Tax Expense,,,
Current Tax,447.44,615.00,762.04
Deferred Tax,62.74,-140.71,37.75
Profit/Loss for the period,1112.85,1476.97,1706.1
