0,1,2,3
21. Prabhu Bank Limited,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"15,163.38","8,446.07","8,371.90"
Due from Nepal Rastra Bank,"6,668.57","20,184.42","16,537.18"
Placement with Bank and Financial Institutions,-,-,595.75
Derivative financial instruments,82.87,"5,353.76","6,116.14"
Other trading assets,-,-,237.86
Loan and advances to B/FIs,"3,931.85","3,897.66","7,362.45"
Loans and advances to customers,"86,415.90","99,397.72","135,117.77"
Investment securities,"14,572.08","20,318.13","33,356.50"
Current tax assets,5.99,156.81,159.31
Investment in subsidiaries,116.96,524.23,524.23
Investment in associates,-,-,-
Investment property,439.18,512.41,349.03
Property and equipment,"2,280.26","2,358.89","2,305.37"
Goodwill and Intangible assets,39.77,180.22,143.71
Deferred tax assets,-,302.96,427.34
