0,1,2
S.N.,Name and Link to the Circular Issued,Issued Date
1,"Circular 01 (A, B, C) - Amendment in Unified Directives, 2078 (Interim Financial Statements Related)",2079.04.05
2,"Circular 02 (A, B, C) - Amendment in Unified Directives, 2078",2079.04.18
3,"Circular 03 (A, B, C) - Amendment in Unified Directives, 2078",2079.06.14
4,"Circular 01 (Infrastructure) - Amendment in Unified Directives for IDB, 2078",2079.06.14
5,"Circular 04 (A, B, C) - Amendment in Unified Directives, 2078",2079.08.16
6,"Circular 05 (A, B, C) - Amendment in Unified Directives, 2078 (based on 1st Quarter review of Monetary Policy of FY 2079/80)",2079.08.28
7,"Circular 06 (A, B, C) - Amendment in Unified Directives, 2078 (related to qualification of promoter and CEO)",2079.08.29
8,"Circular 02 (Infrastructure) - Amendment in Unified Directives for IDB, 2078 (related to qualification of promoter and CEO)",2079.08.29
9,"Circular 07 (A, B, C) - Amendment in Unified Directives, 2078 (related to implementation of SIS)",2079.10.03
10,"Circular 03 (Infrastructure) - Amendment in Unified Directives for IDB, 2078 (related to implementation of SIS)",2079.10.03
11,"Circular 08 (A, B, C) - Amendment in Unified Directives, 2078",2079.10.26
12,"Circular 04 (Infrastructure) - Amendment in Unified Directives for IDB, 2078",2079.10.26
13,"Circular 09 (A, B, C) - Issue of Unified Directives, 2079",2079.11.02
14,"Circular 10 (A, B, C) - Amendment in Unified Directives, 2079",2079.11.12
15,"Circular 11 (A, B, C) - Amendment in Unified Directives, 2079",2080.01.25
16,"Circular 12 (A, B, C) - Amendment in Unified Directives, 2079",2080.02.03
17,"Circular 13 (A, B, C) - Amendment in Unified Directives, 2079",2080.02.23
