0,1,2,3
24. Prabhu Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,6543.13,13155.09,"15,163.38"
Due from Nepal Rastra Bank,9120.74,6172.04,"6,668.57"
Placement with Bank and Financial Institutions,1908.28,2215.41,-
Derivative financial instruments,22.82,0.00,82.87
Other trading assets,0.00,0.00,-
Loan and advances to B/FIs,1794.59,3181.81,"3,931.85"
Loans and advances to customers,59702.06,72990.23,"86,415.90"
Investment securities,8880.88,8035.89,"14,572.08"
Current tax assets,32.91,38.57,5.99
Investment in subsidiaries,45.56,116.96,116.96
Investment in associates,0.00,0.00,-
Investment property,515.55,464.80,439.18
Property and equipment,2135.12,2107.74,"2,280.26"
Goodwill and Intangible assets,14.38,17.23,39.77
Deferred tax assets,0.00,0.00,-
Other assets,1908.97,4090.39,"4,189.34"
TOTAL ASSETS,92624.98,112586.17,"133,906.16"
Due to Bank and Financial Institutions,215.24,0.00,-
Due to Nepal Rastra Bank,37.15,702.21,801.79
Derivative financial instruments,0.00,45.85,-
Deposits from customers,81349.54,97259.66,"112,393.45"
Borrowing,0.00,0.00,"1,100.40"
Current Tax Liabilities,0.00,0.00,-
Provisions,23.32,23.32,23.33
Deferred tax liabilities,349.58,387.17,417.76
Other liabilities,1299.24,1597.70,"4,602.86"
Debt securities issued,0.00,0.00,-
Subordinated Liabilities,0.00,0.00,-
