0,1,2,3
4. Nepal Investment Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"11,539.08","10,610.89","13,520.57"
Due from Nepal Rastra Bank,"6,360.97","7,389.71","10,860.92"
Placement with Bank and Financial Institutions,"12,613.47","10,246.40","8,498.97"
Derivative financial instruments,117.35,30.86,436.89
Other trading assets,-,-,-
Loan and advances to B/FIs,"2,158.46","2,502.93","4,274.42"
Loans and advances to customers,"103,418.05","118,322.57","122,866.55"
Investment securities,"14,477.69","17,154.38","16,973.47"
Current tax assets,149.97,346.85,501.18
Investment in susidiaries,201.35,238.16,171.50
Investment in associates,33.29,33.29,82.36
Investment property,54.44,16.56,214.09
Property and equipment,"3,533.96","3,727.97","4,042.46"
Goodwill and Intangible assets,62.41,61.46,90.63
Deferred tax assets,-,-,-
Other assets,640.86,"1,211.52","3,307.98"
TOTAL ASSETS,"155,361.35","171,893.55","185,841.99"
Due to Bank and Financial Instituions,"6,989.63","3,742.41","2,790.96"
Due to Nepal Rastra Bank,-,505.85,940.27
