0,1,2,3,4,5
Name of Banks,2015,2016,2017,2018,2019
Nepal Bank Limited (NBL),117,130,130,140,173
Rastriya Banijya Bank Limited (RBBL),168,174,185,212,245
NABIL Bank Limited (NABIL),48,52,52,74,81
Nepal Investment Bank Limited (NIBL),46,46,61,89,105
Standard Chartered Bank Nepal Ltd. (SCBN),15,19,15,14,10
Himalayan Bank Limited (HBL),45,45,45,58,54
Nepal SBI Bank Limited (NSBI),59,73,66,83,108
Nepal Bangladesh Bank Limited (NBBL),30,35,46,72,97
Everest Bank Limited (EBL),53,61,60,90,95
Bank of Kathmandu Limited (BOK) ,50,69,75,83,96
Nepal Credit and Commerce Bank Ltd. (NCCBL),22,22,96,108,129
Lumbini Bank Limited (LBL) ,19,-,-,-,-
Nepal Industrial & Commercial Bank Ltd. (NIC) / NIC Asia Bank Limited$,54$,67,118,237,330
