0,1,2,3
Particulars,2017-18,2018-19,2019-20
Interest Income,"8,107.98","10,757.98","11,495.49"
Interest Expenses,"5,092.45","6,549.28","7,280.03"
Net Interest Income,"3,015.52","4,208.70","4,215.46"
Fee and commission income,706.39,785.12,694.97
Fee and commission expense,50.15,73.25,75.95
Net Fee and commission income,656.24,711.87,619.02
"Net Interest, Fee and commission income","3,671.76","4,920.56","4,834.48"
Net trading income,298.41,392.82,388.77
Other operating income,38.96,44.23,59.66
Total operating income,"4,009.13","5,357.62","5,282.91"
Impairment charge/(reversal) for loans and other losses,239.22,218.24,883.46
Net operating income,"3,769.92","5,139.38","4,399.45"
Personnel expenses,865.56,"1,259.77","1,252.55"
Other operating expenses,383.73,515.55,572.27
Depreciation &Amortization,105.46,139.17,156.02
Operating Profit,"2,415.17","3,224.90","2,418.61"
Non-operating income,0.90,2.08,1.41
Non-operating expense,0.73,6.83,1.52
Profit before income tax,"2,415.34","3,220.16","2,418.50"
Income Tax Expense,-,-,715.13
Current Tax,774.25,957.82,715.13
Deferred Tax,(56.42),4.27,-
Profit/Loss for the period,"1,697.50","2,258.07","1,703.37"
