0,1,2,3
Total Liabilities and Equity,"191,162.82","222,645.48","260,077.88"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"11,526.84","11,887.17","16,439.95"
Interest Expense,"5,908.02","5,466.72","9,725.36"
Net Interest Income,"5,618.82","6,420.44","6,714.59"
Fees and commission income,790.34,953.78,968.76
Fees and commission expense,43.96,67.35,81.81
Net fee and commission income,746.39,886.43,886.94
"Net interest, fee and commission income","6,365.21","7,306.87","7,601.53"
Net trading income,412.56,456.85,198.14
Other operating income,394.11,425.28,270.19
Total operating income,"7,171.88","8,189.00","8,069.86"
Impairment charge/(reversal) for loans and other losses,879.63,497.62,853.66
Net operating income,"6,292.25","7,691.38","7,216.20"
Personnel expenses,"2,224.85","2,353.46","2,451.90"
Other operating expenses,668.68,813.08,787.73
Depreciation and Amortisation,150.80,177.18,339.10
Operating Profit,"3,247.92","4,347.66","3,637.46"
Non-operating income,327.25,224.76,219.33
Non-operating expense,-,-,-
Profit before income tax,"3,575.17","4,572.42","3,856.79"
Income Tax Expense,,,-
Current Tax,820.47,"1,275.94",983.65
Deferred Tax,421.81,335.25,(50.14)
Profit for the Period,"2,332.89","2,961.23","2,923.28"
