0,1,2,3
1. Nepal Bank Limited,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"5,780.88","10,418.97","4,965.06"
Due from Nepal Rastra Bank,"6,283.66","10,178.32","2,472.90"
Placement with Bank and Financial Institutions,"2,965.49","5,427.68","6,117.45"
Derivative financial instruments,18.63,"5,594.62","6,526.46"
Other trading assets,-,-,-
Loan and advances to B/FIs,"2,739.47","3,303.28","3,223.30"
Loans and advances to customers,"75,556.51","92,421.64","104,588.24"
Investment securities,"16,247.77","16,425.73","32,083.79"
Current tax assets,521.83,991.50,"1,522.34"
Investment in subsidiaries,-,-,-
Investment in associates,-,-,-
Investment property,87.01,113.31,103.11
Property and equipment,"11,638.33","11,828.22","12,007.75"
Goodwill and Intangible assets,14.24,25.99,39.45
Deferred tax assets,-,-,-
Other assets,"11,613.37","14,786.38","16,776.71"
TOTAL ASSETS,133467.201,171515.65,"190,426.56"
Due to Bank and Financial Institutions,290.65,"1,074.50",874.96
Due to Nepal Rastra Bank,34.52,41.84,23.92
Derivative financial instruments,-,"5,504.43","6,419.10"
Deposits from customers,"99,540.73","117,200.79","142,114.28"
Borrowing,109.50,950.00,"1,000.00"
Current Tax Liabilities,-,-,-
Provisions,63.28,131.44,123.71
Deferred tax liabilities,"3,226.45","3,650.97","3,782.50"
Other liabilities,"7,230.07","13,680.34","5,906.05"
Debt securities issued,-,-,-
Subordinated Liabilities,-,-,-
Equity,"22,971.99",29281.33,"30,182.03"
Share capital,"8,042.66","9,811.15","11,282.82"
Share premium,132.84,"3,262.81","1,788.70"
Retained earnings,(437.19),"2,895.69","4,125.07"
Reserves,"15,233.69","13,311.68","12,985.44"
TOTAL EQUITY AND LIABILITIES,"133,467.20","171,515.65","190,426.56"
Interest Income,"9,229.44","10,375.69","11,526.97"
Interest Expenses,"2,841.69","4,186.15","5,908.02"
