0,1,2,3
Consolidated Financials of the Non State Owned Banks,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"138,235.22","162,051.53","203,857.99"
Due from Nepal Rastra Bank,"175,016.70","163,909.49","164,351.43"
Placement with Bank and Financial Institutions,"84,080.21","58,605.19","60,446.11"
Derivative financial instruments,"10,955.67","12,275.37","40,308.53"
Other trading assets,"1,041.45","1,220.54","2,379.52"
Loan and advances to B/FIs,"90,758.67","113,280.48","81,897.93"
Loans and advances to customers,"1,349,550.72","1,667,278.22","2,045,434.11"
Investment securities,"184,690.95","243,415.82","310,714.29"
Current tax assets,"3,769.96","4,613.42","3,536.77"
Investment in susidiaries,"1,645.42","3,654.79","4,983.89"
Investment in associates,842.62,936.36,"1,200.35"
Investment property,"2,415.24","2,199.86","4,367.47"
Property and equipment,"24,293.21","28,275.94","34,456.68"
Goodwill and Intangible assets,551.35,918.09,"1,320.44"
Deferred tax assets,194.91,810.32,"1,156.06"
Other assets,"19,205.00","38,619.47","34,914.23"
TOTAL ASSETS,"2,087,247.29","2,502,064.89","2,995,325.78"
Due to Bank and Financial Institutions,"65,862.44","69,750.86","107,180.96"
Due to Nepal Rastra Bank,"7,056.60","11,097.05","24,636.04"
