0,1,2,3
Investment in subsidiaries,51.00,-,51.00
Investment in associates,-,217.84,-
Investment property,654.54,727.57,725.64
Property and equipment,"3,548.09","3,495.83","3,201.79"
Goodwill and Intangible assets,166.00,146.15,117.95
Deferred tax assets,-,-,-
Other assets,"4,050.24","4,703.29","4,181.22"
TOTAL ASSETS,"285,977.92","297,341.42","338,811.35"
Liabilities,"260,671.32","269,272.12","307,845.92"
Due to Bank and Financial Institutions,"11,613.66","3,578.16","3,092.53"
Due to Nepal Rastra Bank,288.45,391.92,391.92
Derivative financial instruments,23.89,3.98,19.71
Deposits from customers,"223,654.67","241,329.08","280,321.37"
Borrowing,"7,312.48","5,964.38","5,839.10"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,501.93,669.64,478.30
Other liabilities,"5,613.69","5,672.40","6,040.43"
Debt securities issued,"11,662.56","11,662.56","11,662.56"
Subordinated Liabilities,-,-,-
Equity,"25,306.59","28,069.29","30,965.43"
Share capital,"14,089.98","14,089.98","14,089.98"
Share premium,-,-,-
Retained earnings,663.61,580.36,"1,837.87"
Reserves,"10,553.00","13,398.95","15,037.58"
Total Liabilities and Equity,"285,977.92","297,341.42","338,811.35"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"27,670.97","25,716.03","22,312.13"
Interest Expenses,"19,486.42","17,785.96","13,872.27"
Net Interest Income,"8,184.54","7,930.07","8,439.86"
Fee and commission income,"1,693.08","1,815.39","2,097.29"
Fee and commission expense,347.46,389.05,455.77
Net Fee and commission income,"1,345.62","1,426.33","1,641.51"
"Net Interest, Fee and commission income","9,530.16","9,356.40","10,081.37"
