0,1,2,3
11. Citizens Bank International Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"10,841.97","11,563.04","17,892.74"
Due from Nepal Rastra Bank,"2,430.00","3,796.49","4,266.51"
Placement with Bank and Financial Institutions,302.68,"2,874.87","1,233.63"
Derivative financial instruments,1.03,47.01,2.66
Other trading assets,90.62,596.89,327.34
Loan and advances to B/FIs,"1,534.10","3,247.17","3,299.92"
Loans and advances to customers,"78,976.40","118,912.04","131,344.33"
Investment securities,"11,828.33","22,017.42","28,153.43"
Current tax assets,142.49,288.46,348.14
Investment in subsidiaries,167.20,167.20,167.20
Investment in associates,18.95,16.00,375.65
Investment property,195.53,141.15,208.65
Property and equipment,"2,554.05","2,880.20","3,704.21"
Goodwill and Intangible assets,75.32,83.56,196.84
Deferred tax assets,-,-,-
Other assets,"1,391.99","1,697.54","2,891.41"
,,,
Total Assets,"110,550.68","168,329.05","194,412.65"
,,,
Liabilities,"97,132.96","149,441.03","174,003.36"
Due to Bank and Financial Institutions,"3,688.90","2,765.00","4,063.05"
Due to Nepal Rastra Bank,567.58,"1,205.56","11,070.25"
Derivative financial instruments,-,-,-
Deposits from customers,"88,496.23","140,638.41","152,801.49"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,5.31,5.31,5.31
Deferred tax liabilities,13.61,217.49,63.31
Other liabilities,"1,386.95","2,133.18","3,522.07"
Debt securities issued,"2,974.38","2,476.08","2,477.88"
Subordinated Liabilities,-,-,-
,,,
Equity,"13,417.72","18,888.02","20,409.29"
Share capital,"9,089.82","12,576.92","14,200.97"
Share premium,4.12,-,-
Retained earnings,931.16,"1,422.78","1,329.46"
Reserves,"3,392.62","4,888.32","4,878.85"
,,,
Total Liabilities and Equity,"110,550.68","168,329.05","194,412.65"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
