0,1,2,3
Investment securities,"41,980.22","34,082.39","29,502.94"
Current tax assets,54.54,450.00,169.64
Investment in subsidiaries,450.00,-,450.00
Investment in associates,-,1.66,-
Investment property,190.17,674.00,951.50
Property and equipment,"1,368.38","1,395.43","1,343.34"
Goodwill and Intangible assets,96.08,81.63,85.86
Deferred tax assets,169.78,248.73,162.68
Other assets,"4,333.62","3,765.28","3,310.27"
TOTAL ASSETS,"215,642.99","233,862.21","263,551.93"
Liabilities,"196,263.56","212,938.56","240,518.37"
Due to bank and financial institutions,"5,091.31","2,182.16","1,572.39"
Due to Nepal Rastra Bank,72.09,-,-
Derivative financial instruments,6.05,1.89,21.38
Deposits from customers,"175,745.25","197,197.07","223,954.68"
Borrowing,"2,629.00","1,070.00","2,063.25"
Current Tax Liabilities,-,-,-
Provisions,34.26,36.44,40.46
Deferred tax liabilities,-,-,-
Other liabilities,"3,311.94","3,073.48","3,484.84"
Debt securities issued,"9,373.67","9,377.52","9,381.37"
Subordinated Liabilities,-,-,-
Equity,"19,379.43","20,923.65","23,033.56"
Share capital,"12,460.12","13,581.53","13,581.53"
Share premium,-,-,-
Retained earnings,"2,215.04","1,447.34","2,102.91"
Reserves,"4,704.28","5,894.79","7,349.13"
Total Liabilities and Equity,"215,642.99","233,862.21","263,551.93"
STATEMENT OF PROFIT OR LOSS,2022-23,2023-24,2024-25
Interest Income,"21,607.17","20,724.07","18,040.79"
Interest Expense,"15,128.55","14,542.37","11,684.79"
Net Interest Income,"6,478.62","6,181.70","6,356.00"
Fee and commission income,"1,039.86","1,194.85","1,380.36"
Fee and commission expense,242.16,175.85,185.02
Net Fee and commission income,797.70,"1,019.01","1,195.35"
"Net Interest, Fee and commission income","7,276.32","7,200.70","7,551.35"
Net trading income,217.27,517.77,593.39
Other operating income,158.21,210.56,457.72
Total operating income,"7,651.80","7,929.03","8,602.46"
