0,1,2,3
Net trading income,191.74,239.84,424.24
Other operating income,336.33,381.05,650.18
Total operating income,"10,058.23","9,977.30","11,155.79"
Impairment charge/(reversal) for loans and other losses,"1,187.56","1,051.12","1,375.32"
Net operating income,"8,870.67","8,926.18","9,780.47"
Personnel expenses,"2,852.24","2,977.90","3,240.21"
Other operating expenses,917.44,985.63,"1,065.58"
Depreciation & Amortization,448.01,478.15,499.83
Operating Profit,"4,652.98","4,484.50","4,974.85"
Non operating income,13.47,11.26,16.19
Non operating expense,101.19,20.00,7.91
Profit before income tax,"4,565.26","4,475.77","4,983.12"
Income Tax Expense,-,-,
Current Tax,"1,412.44","1,428.50","1,642.13"
Deferred Tax,(13.95),(32.76),(25.59)
Profit/Loss for the period,"3,166.77","3,080.03","3,366.59"
