0,1,2,3
Retained earnings,"2,515.34","1,550.78","1,140.83"
Reserves,"5,102.47","6,953.47","8,926.89"
,,,
Total Liabilities and Equity,"231,546.86","255,150.61","287,777.14"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"13,983.69","19,168.86","26,622.46"
Interest Expense,"8,323.03","12,781.32","18,280.00"
Net Interest Income,"5,660.66","6,387.54","8,342.46"
Fees and commission income,"1,177.64","1,689.47","1,833.47"
Fees and commission expense,138.02,216.24,286.61
Net fee and commission income,"1,039.62","1,473.23","1,546.86"
"Net interest, fee and commission income","6,700.28","7,860.77","9,889.32"
Net trading income,364.11,272.41,236.29
Other operating income,351.97,406.77,204.15
Total operating income,"7,416.36","8,539.94","10,329.75"
Impairment charge/(reversal) for loans and other losses,382.41,(37.23),"1,453.82"
Net operating income,"7,033.95","8,577.17","8,875.93"
Personnel expenses,"2,089.70","2,539.35","2,689.18"
Other operating expenses,853.75,"1,087.92","1,192.03"
Depreciation and Amortization,269.48,290.52,319.40
Operating Profit,"3,821.02","4,659.39","4,675.32"
Non-operating income,39.07,2.66,9.99
Non-operating expense,15.21,46.76,76.15
Profit before income tax,"3,844.88","4,615.29","4,609.16"
Income Tax Expense,,,-
Current Tax,"1,185.62","1,435.20","1,434.85"
Deferred Tax,(51.82),(111.01),(48.24)
Profit for the period,"2,711.07","3,291.09","3,222.55"
