0,1,2,3
Particulars,2017-18,2018-19,2019-20
Current tax assets,21.51,16.88,274.53
Investment in subsidiaries,120.62,201.87,260.06
Investment in associates,-,-,-
Investment property,177.16,227.98,208.58
Property and equipment,255.89,501.01,611.87
Goodwill and Intangible assets,40.58,38.38,34.02
Deferred tax assets,-,-,-
Other assets,323.87,451.69,"1,493.08"
TOTAL ASSETS,"51,925.23","62,467.74","77,199.29"
Due to Bank and Financial Institutions,"6,549.78","6,517.06","3,130.18"
Due to Nepal Rastra Bank,548.72,531.25,728.57
Derivative financial instruments,-,"1,673.81","3,381.45"
Deposits from customers,"34,222.60","41,993.30","57,512.41"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,1.06,-,-
Deferred tax liabilities,149.02,155.43,151.48
Other liabilities,604.13,"1,445.55","2,222.99"
Debt securities issued,,-,-
Subordinated Liabilities,,-,-
Equity,"9,849.92","10,151.34","10,072.21"
Share capital,"7,259.31","8,003.39","8,003.39"
Share premium,36.39,,-
Retained earnings,"1,069.62",540.23,264.74
Reserves,"1,484.60","1,607.72","1,804.08"
TOTAL EQUITY AND LIABILITIES,"51,925.23","62,467.74","77,199.29"
Interest Income,"4,441.86","5,727.89","6,198.10"
Interest Expenses,"3,033.46","3,526.41","3,959.67"
Net Interest Income,"1,408.40","2,201.47","2,238.43"
Fee and commission income,242.34,221.89,299.05
Fee and commission expense,23.10,24.00,27.03
Net Fee and commission income,219.24,197.89,272.02
"Net Interest, Fee and commission income","1,627.64","2,399.36","2,510.45"
Net trading income,156.58,197.96,229.85
Other operating income,43.15,51.74,50.88
Total operating income,"1,827.37","2,649.06","2,791.18"
Impairment charge/(reversal) for loans and other losses,(125.83),58.89,442.03
Net operating income,"1,953.20","2,590.17","2,349.15"
