0,1,2,3
Particulars,2017-18,2018-19,2019-20
Current tax assets,,-,73.81
Investment in subsidiaries,,-,-
Investment in associates,,34.50,54.66
Investment property,,890.71,956.78
Property and equipment,716.78,942.41,867.44
Goodwill and Intangible assets,2.16,12.54,11.78
Deferred tax assets,,130.67,70.50
Other assets,"3,606.83",902.52,"1,162.90"
TOTAL ASSETS,"76,745.41","88,718.84","96,873.01"
Due to Bank and Financial Institutions,,"6,352.63","5,830.17"
Due to Nepal Rastra Bank,,"1,244.46",975.71
Derivative financial instruments,,962.69,"1,134.47"
Deposits from customers,"63,519.76","67,035.62","73,786.88"
Borrowing,684.91,-,-
Current Tax Liabilities,,59.21,-
Provisions,,-,-
Deferred tax liabilities,,-,-
Other liabilities,"2,699.37","1,056.17","1,965.30"
Debt securities issued,,-,-
Subordinated Liabilities,,-,-
Equity,,"12,008.05","13,180.48"
Share capital,"4,679.85","7,018.59","9,353.92"
Share premium,,172.44,-
Retained earnings,,"1,320.60",888.73
Reserves,"5,161.52","3,496.43","2,937.84"
TOTAL EQUITY AND LIABILITIES,"76,745.41","88,718.84","96,873.01"
Interest Income,"7,010.29","7,899.64","8,466.67"
Interest Expenses,"5,119.96","4,932.02","5,247.39"
Net Interest Income,"1,890.33","2,967.62","3,219.28"
Fee and commission income,475.17,598.34,590.93
Fee and commission expense,21.65,25.80,23.84
Net Fee and commission income,453.52,572.54,567.09
"Net Interest, Fee and commission income",144.14,"3,540.16","3,786.37"
Net trading income,"2,487.99",129.09,184.76
Other operating income,747.10,63.81,60.84
Total operating income,"3,235.08","3,733.06","4,031.98"
Impairment charge/(reversal) for loans and other losses,747.10,(127.14),328.24
Net operating income,"3,235.08","3,860.20","3,703.74"
