0,1,2,3
Net Interest Income,"9,227.50","11,289.60","12,258.81"
Fees and commission income,"1,840.70","2,369.65","2,712.01"
Fees and commission expense,216.90,347.08,389.53
Net fee and commission income,"1,623.81","2,022.58","2,322.48"
"Net interest, fee and commission income","10,851.31","13,312.18","14,581.29"
Net trading income,277.78,200.93,147.04
Other operating income,225.28,304.41,298.39
Total operating income,"11,354.37","13,817.52","15,026.71"
Impairment charge/(reversal) for loans and other losses,"1,225.62",865.26,721.96
Net operating income,"10,128.75","12,952.26","14,304.75"
Personnel expenses,"3,347.94","4,500.75","4,961.10"
Other operating expenses,"1,614.43","2,101.54","2,026.03"
Depreciation and Amortization,368.15,384.72,780.82
Operating Profit,"4,798.23","5,965.25","6,536.80"
Non-operating income,6.15,62.03,9.46
Non-operating expense,158.22,31.07,377.89
Profit before income tax,"4,646.17","5,996.20","6,168.37"
Income Tax Expense,-,,-
Current Tax,"1,388.70","1,793.28","1,762.20"
Deferred Tax,(1.47),(12.00),(38.60)
Profit for the period,"3,258.93","4,214.93","4,444.77"
