0,1,2,3
Particulars,2017-18,2018-19,2019-20
Due from Nepal Rastra Bank,"6,890.13","3,226.96","4,552.00"
Placement with Bank and Financial Institutions,"2,259.78","1,458.03",81.14
Derivative financial instruments,30.81,72.60,67.42
Other trading assets,93.21,358.70,212.02
Loan and advances to B/FIs,"1,380.57","2,440.17","2,471.15"
Loans and advances to customers,"40,878.52","75,095.77","92,336.30"
Investment securities,"4,766.33","10,306.08","11,932.41"
Current tax assets,61.03,209.98,277.85
Investment in subsidiaries,200.00,200.00,200.00
Investment in associates,-,-,-
Investment property,87.83,78.46,174.95
Property and equipment,371.54,"1,122.93","1,335.80"
Goodwill and Intangible assets,23.84,49.01,65.13
Deferred tax assets,22.31,21.42,35.13
Other assets,605.25,"1,163.04","1,020.76"
TOTAL ASSETS,"61,377.14","105,246.05","124,540.41"
Due to Bank and Financial Institutions,-,"6,361.84","2,649.48"
Due to Nepal Rastra Bank,333.99,"1,020.52",13.72
Derivative financial instruments,-,-,-
Deposits from customers,"48,052.95","85,198.40","104,098.90"
Borrowing,-,-,"1,214.22"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"1,252.65","1,428.41","1,999.57"
Debt securities issued,-,-,"2,992.93"
Subordinated Liabilities,-,-,-
Equity,"11,737.55","11,236.88","11,571.59"
Share capital,"8,088.30","8,055.70","8,458.48"
Share premium,-,30.88,30.88
Retained earnings,941.46,"1,293.47",924.33
Reserves,"2,707.79","1,856.83","2,157.91"
TOTAL EQUITY AND LIABILITIES,"61,377.14","105,246.05","124,540.41"
Interest Income,"5,427.43","10,177.52","11,352.89"
Interest Expenses,"3,456.81","6,627.77","7,490.99"
Net Interest Income,"1,970.62","3,549.76","3,861.90"
Fee and commission income,935.87,790.52,947.59
Fee and commission expense,36.99,69.98,101.24
