0,1,2,3
13.  Laxmi Sunrise Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"10,940.57","11,194.74","18,187.74"
Due from Nepal Rastra Bank,"7,256.23","6,340.17","20,677.44"
Placement with Bank and Financial Institutions,-,-,788.70
Derivative financial instruments,"6,073.91",362.81,"1,899.98"
Other trading assets,-,10.09,68.19
Loans and advances to BFIs,"3,272.95","5,956.15","7,687.48"
Loans and advances to customers,"105,213.37","126,767.90","247,870.14"
Investment securities,"13,004.41","16,816.56","53,360.55"
Current tax assets,72.56,87.58,189.29
Investment in subsidiaries,417.00,417.00,893.17
Investment in associates,"2,818.22","1,186.20",-
Investment property,105.94,70.54,"1,275.16"
Property and equipment,"1,335.67","2,394.75","4,864.93"
Goodwill and Intangible assets,76.49,76.84,523.75
Deferred tax assets,-,-,-
Other assets,"1,653.54","1,702.63","3,379.27"
Total Assets,"152,240.86","173,383.95","361,665.77"
,,,
Liabilities,"135,344.10","156,442.94","323,440.84"
Due to Bank and Financial Institutions,"2,826.27","1,182.34","4,067.00"
Due to Nepal Rastra Bank,"4,364.95","2,569.07",-
Derivative Financial Instrument,"6,050.42",363.51,"1,896.71"
Deposits from customers,"114,605.49","139,537.10","296,243.48"
Borrowings,"3,591.57","6,433.11","5,080.62"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,888.96,234.18,242.70
Other liabilities,"1,008.23","2,107.41","7,910.33"
Debt securities issued,"2,008.22","4,016.22","8,000.00"
Subordinated Liabilities,-,-,-
,,,
Equity,"16,896.76","16,941.02","38,224.93"
Share Capital,"10,695.69","11,551.35","21,670.24"
Share premium,-,-,-
Retained earnings,"1,262.94","1,200.80","1,728.33"
Reserves,"4,938.13","4,188.87","14,826.36"
,,,
