0,1,2,3
11. Machhapuchchhre Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalent,"11,494.02","10,632.39","7,790.32"
Due from Nepal Rastra Bank,"6,047.35","9,309.11","6,340.17"
Placement with Bank and Financial Institutions,-,"1,458.31",404.77
Derivative financial instruments,-,-,4.54
Other trading assets,507.98,489.50,13.27
Loan and advances to B/FIs,"2,607.54","4,464.24","5,101.44"
Loans and advances to customers,"128,573.15","126,137.68","126,754.17"
Investment securities,"24,127.40","27,418.53","35,597.02"
Current tax assets,646.42,774.95,400.00
Investment in subsidiaries,200.00,400.00,-
Investment in associates,-,-,919.48
Investment property,244.18,609.94,"1,201.90"
Property and equipment,"1,583.51","1,582.41","1,585.98"
Goodwill and Intangible assets,127.06,133.50,128.01
Deferred tax assets,49.25,85.78,154.28
Other assets,"2,519.43","3,077.85","3,215.41"
TOTAL ASSETS,"178,727.31","186,574.20","189,610.79"
Liabilities,"164,241.54","170,422.41","172,497.05"
Due to Bank and Financial Institutions,"5,072.84","4,105.07","3,128.49"
Due to Nepal Rastra Bank,"3,612.52",13.00,-
Derivative financial instruments,1.78,-,-
Deposits from customers,"145,026.05","154,179.63","158,646.91"
Borrowing,"1,286.24","3,395.00","2,091.13"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"3,749.35","3,235.67","3,135.04"
Debt securities issued,"5,492.76","5,494.04","5,495.48"
Subordinated Liabilities,-,-,-
Equity,"14,485.77","16,151.79","17,113.73"
Share capital,"10,257.16","10,257.16","11,621.36"
Share premium,30.88,30.88,30.88
Retained earnings,597.24,"1,448.53",(359.80)
Reserves,"3,600.49","4,415.22","5,821.30"
Total liabilities and equity,"178,727.31","186,574.20","189,610.79"
,,,
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest Income,"15,232.37","19,284.51","16,598.69"
Interest Expense,"10,354.33","13,912.11","11,610.50"
Net Interest Income,"4,878.04","5,372.40","4,988.19"
Fee and commission income,"1,354.17","1,396.77","1,361.14"
Fee and commission expense,191.03,252.73,273.52
Net Fee and commission income,"1,163.14","1,144.04","1,087.63"
"Net Interest, Fee and commission income","6,041.18","6,516.44","6,075.82"
Net trading income,216.65,280.41,230.38
Other operating income,95.05,70.07,79.97
Total operating income,"6,352.88","6,866.92","6,386.17"
,Impairment charge/(reversal) for loans and other losses                501.23,"1,148.26","1,398.19"
