0,1,2,3
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"29,892.78","31,899.38","23,229.50"
Interest Expense,"19,826.34","20,008.48","16,031.64"
Net Interest Income,"10,066.44","11,890.89","7,197.86"
Fee and commission income,"1,678.82","2,009.14","2,461.85"
Fee and commission expense,86.23,98.64,249.22
Net Fee and commission income,"1,592.59","1,910.50","2,212.63"
"Net Interest, Fee and Commission Income","11,659.04","13,801.40","9,410.50"
Net trading income,281.31,384.55,542.60
Other operating income,216.63,352.54,619.53
Total operating income,"12,156.97","14,538.48","10,572.63"
Impairment  Charge/  (Reversal)  for  Loans  and  Other Losses,"5,210.17","4,719.87","2,402.87"
Net operating income,"6,946.80","9,818.61","8,169.76"
Personnel expenses,"3,287.89","4,435.46","4,129.92"
Other operating expenses,"1,483.90","1,564.30","1,465.48"
Depreciation & Amortization,623.17,668.80,714.54
Operating Profit,"1,551.85","3,150.06","1,859.83"
Non operating income,23.17,2.17,25.04
Non operating expense,157.09,2.78,2.69
Profit before income tax,"1,417.92","3,149.45","1,882.17"
Income Tax Expense,-,-,
Current Tax,"1,349.11","2,468.79","1,578.78"
Deferred Tax,(211.41),169.81,(568.94)
Profit for the Period,280.22,510.86,872.33
