0,1,2,3
Goodwill and Intangible assets,32.84,23.08,24.95
Deferred tax assets,-,111.96,-
Other assets,"1,153.94","1,597.35","2,146.56"
Total Assets,"211,650.25","225,381.32","250,090.49"
,,,
Liabilities,"190,966.64","202,586.77","224,718.82"
Due to Bank and Financial Institutions,678.98,733.07,"1,219.27"
Due to Nepal Rastra Bank,"2,112.18","2,919.26",23.77
Derivative Financial Instrument,27.93,-,47.60
Deposits from customers,"160,220.26","172,739.18","198,007.81"
Borrowings,-,"2,556.00","2,664.22"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,410.46,-,173.21
Other liabilities,"27,047.99","22,313.62","18,979.34"
Debt securities issued,468.85,"1,325.63","3,603.61"
Subordinated Liabilities,-,-,-
,,,
Equity,"20,683.61","22,794.55","25,371.67"
Share Capital,"8,933.72","9,467.34","10,698.09"
Share premium,238.47,238.47,238.47
Retained earnings,"2,364.21","3,877.12","4,110.49"
Reserves,"9,147.21","9,211.63","10,324.62"
,,,
Total Liabilities and Equity,"211,650.25","225,381.32","250,090.49"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"11,515.53","15,467.18","22,400.61"
Interest Expense,"7,559.21","10,285.76","14,988.17"
Net Interest Income,"3,956.32","5,181.42","7,412.44"
Fees and commission income,978.90,"1,294.96","1,347.52"
Fees and commission expense,210.74,263.07,271.93
Net fee and commission income,768.16,"1,031.88","1,075.59"
"Net interest, fee and commission income","4,724.48","6,213.30","8,488.03"
Net trading income,367.24,299.49,182.78
Other operating income,214.28,294.29,94.19
Total operating income,"5,306.00","6,807.08","8,765.01"
Impairment charge/(reversal) for loans and other losses,262.37,325.45,771.36
Net operating income,"5,043.64","6,481.63","7,993.65"
Personnel expenses,"1,611.06","2,045.47","2,129.93"
Other operating expenses,724.31,592.22,736.67
Depreciation and Amortization,159.86,293.19,309.48
Operating Profit,"2,548.41","3,550.75","4,817.57"
Non-operating income,-,-,-
Non-operating expense,0.09,2.51,1.29
Profit before income tax,"2,548.32","3,548.24","4,816.28"
Income Tax Expense,,,-
Current Tax,790.24,"1,055.44","1,447.57"
Deferred Tax,(12.86),13.40,6.59
