0,1,2,3
6. Standard Chartered Bank Nepal Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"26,856.98","19,139.90","16,961.55"
Due from Nepal Rastra Bank,"2,236.48","2,380.23","4,032.14"
Placement with Bank and Financial Institutions,-,"2,567.37","6,940.37"
Derivative financial instruments,0.27,22.00,8.18
Other trading assets,-,-,-
Loans and advances to BFIs,"9,065.23","10,217.35","16,830.21"
Loans and advances to customers,"62,408.70","79,197.40","77,831.30"
Investment securities,"12,816.34","7,910.85","26,362.13"
Current tax assets,124.72,113.13,152.50
Investment in subsidiaries,-,-,-
Investment in associates,-,-,-
Investment property,-,-,-
Property and equipment,277.10,612.94,568.14
Goodwill and Intangible assets,-,-,-
Deferred tax assets,-,51.17,10.31
Other assets,952.94,"1,143.36","1,681.16"
Total Assets,"114,738.76","123,355.71","151,378.01"
,,,
Liabilities,"98,516.64","105,220.61","131,235.32"
Due to Bank and Financial Institutions,"8,426.45","8,223.67","4,992.30"
Due to Nepal Rastra Bank,621.51,514.99,-
Derivative Financial Instrument,20.81,0.19,88.85
Deposits from customers,"87,564.22","93,721.92","117,500.98"
Borrowings,-,-,"2,630.60"
Current Tax Liabilities,-,-,-
Provisions,19.60,-,-
Deferred tax liabilities,20.07,-,-
Other liabilities,"1,844.00","2,759.85","3,528.73"
Debt securities issued,-,-,"2,493.87"
Subordinated Liabilities,-,-,-
,,,
Equity,"16,222.12","18,135.10","20,142.69"
Share Capital,"8,572.23","9,429.45","9,429.45"
