0,1,2,3,4
S.N.,Loan Products,% of total loan (Mid July),,
,,2018,2019,2020
1,Term Loan,17.46,19.08,21.47
2,Overdraft,16.53,15.00,14.51
3,Trust Receipt Loan/Import Loan,5.41,5.09,4.76
4,Demand and Other Working Capital Loan,22.74,23.96,23.58
5,Personal Residential Home Loan,7.91,7.47,7.18
6,Real Estate Loan,5.43,4.76,4.87
7,Margin Loan,1.57,1.42,1.42
8,Hire Purchase Loan,6.50,5.68,4.99
9,Deprived Sector Loan,5.41,5.69,5.82
10,Bills Purchased,0.14,0.13,0.11
11,Other Product,10.9,11.71,11.28
,Total,100,100,100
