0,1,2,3
12. Prime Commercial Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and Cash Equivalents,"10,379.97","7,864.97","11,620.91"
Due from Nepal Rastra Bank,"8,716.15","10,497.99","8,860.33"
Placement with Bank and Financial Institutions,"2,260.12","4,766.88",144.90
Derivative financial instruments,-,-,-
Other trading assets,-,-,-
Loans and Advances to B/FIs,"4,116.32","6,097.77","6,672.76"
Loans and advances to customers,"110,435.79","135,383.78","147,053.90"
Investment securities,"13,684.28","23,426.85","31,402.84"
Current tax assets,136.77,288.06,640.05
Investment in Subsidiaries,-,-,-
Investment in associates,60.02,46.02,46.02
Investment property,496.49,365.78,529.81
Property and equipment,"1,076.21","1,048.08","1,973.69"
Goodwill and Intangible assets,16.00,22.77,379.54
Deferred tax assets,11.95,34.94,123.17
Other assets,792.93,693.32,913.96
,,,
Total Assets,"152,182.99","190,537.22","210,361.90"
,-,-,-
Liabilities,"131,656.14","166,595.71","183,356.19"
Due to Bank and Financial Institutions,"10,350.29","6,042.37","6,096.83"
