0,1,2,3
Equity,-,-,12008.05
Share capital,4679.06,4679.85,7018.59
Share premium,-,-,172.44
Retained earnings,-,-,1320.60
Reserves,4468.02,5161.52,3496.43
TOTAL EQUITY AND LIABILITIES,70729.92,76745.41,88718.84
Interest Income,5538.53,7010.29,7899.64
Interest Expenses,2690.49,5119.96,4932.02
Net Interest Income,-,1890.33,2967.62
Fee and commission income,347.32,475.17,598.34
Fee and commission expense,23.64,21.65,25.80
Net Fee and commission income,323.64,453.52,572.54
"Net Interest, Fee and commission income",-,144.14,3540.16
Net trading income,-,2487.99,129.09
Other operating income,84.31,747.10,63.81
Total operating income,3256.03,3235.08,3733.06
Impairment charge/(reversal) for loans and other losses,1545.67,747.10,-127.14
Net operating income,4801.70,3235.08,3860.20
Personnel expenses,944.49,967.10,1243.87
Other operating expenses,394.47,516.82,542.02
Depreciation & Amortisation,-,-,111.58
Operating Profit,3462.74,1751.16,1962.73
Non operating income,-,-,6.01
Non operating expense,-,-,0.00
Profit before income tax,3462.74,1751.16,1968.74
Income Tax Expense,841.49,510.55,
Current Tax,-,-,749.76
Deferred Tax,-,-,197.75
Profit/Loss for the period,2621.25,1240.61,1021.23
