0,1,2,3,4,5
SN,Course,Organizer,Country,Person,Days
1,Risk Based Supervision,SEACEN,Combodia,3,6
2,Micro Stress Testing,IMF,Singapore,1,5
3,APG Regional pre-ME Workshop,Korea Financial Intelligence Unit,South Korea,1,3
4,SARTTAC course on Financial  Sector Policies,RBI,India,1,5
5,Seminar on Stress Testing,,France,1,5
6,Foundation Course on Bank  Examiners,SEACEN,Papua New Guinea,2,6
7,FSI/EMEAP Regional Policy and Implementation Meeting on Early Intervention Frameworks,,Malaysia,1,2
8,Practical Implementation of Risk- Based Supervision,,India,2,5
9,ssessment of Corporate Credit Risk  Ain a Central Bank,,France,1,4
10,ssets Classification and  AProvisioning from Prudential and IFRS Perpectives,IMF,Singapore,1,5
11,International Programme on Banking  Regulation,RBI,India,2,5
12,Financial Sector Surveillance,IMF,Singapore,1,12
13,Financial Stability and Macro- Prudential Regulation,RBI,India,1,4
14,"FSI 20th Anniversary, A Cross sectorial Reflection on the past and looking ahead",Basel,Swizerland,1,2
15,On-Site Examination,SEACEN,Malaysia,1,4
