0,1,2,3
Particulars,2017-18,2018-19,2019-20
Loan and advances to B/FIs,"3,474.26","4,054.63","7,660.46"
Loans and advances to customers,"88,878.10","108,977.61","189,388.66"
Investment securities,"16,320.65","13,153.15","28,018.61"
Current tax assets,"1,010.33","1,259.70","1,639.87"
Investment in subsidiaries,219.78,219.78,557.10
Investment in associates,298.06,319.58,404.22
Investment property,91.92,118.69,335.30
Property and equipment,"1,324.47","1,373.57","2,543.21"
Goodwill and Intangible assets,31.95,28.29,240.27
Deferred tax assets,177.85,212.08,279.84
Other assets,"1,223.60","1,075.10","4,181.97"
TOTAL ASSETS,"125,847.43","151,653.57","274,082.96"
Due to Bank and Financial Institutions,"1,659.93","4,410.88","14,327.70"
Due to Nepal Rastra Bank,"1,034.65","1,231.80","1,339.36"
Derivative financial instruments,45.26,"3,879.90","8,773.44"
Deposits from customers,"104,850.51","120,088.44","212,315.39"
Borrowing,-,-,"2,404.00"
Current Tax Liabilities,948.52,"1,202.57","1,294.77"
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"3,329.90","3,011.35","3,113.28"
Debt securities issued,400.00,"1,496.45","1,497.06"
Subordinated Liabilities,-,-,-
Equity,"13,578.68","16,332.18","29,017.95"
Share capital,"8,888.38","10,310.52","18,975.88"
Share premium,-,-,5.39
Retained earnings,"1,460.83","2,663.62","1,618.56"
Reserves,"3,229.47","3,358.04","8,418.12"
TOTAL EQUITY AND LIABILITIES,"125,847.43","151,653.57","274,082.96"
Interest Income,"11,481.73","13,530.88","20,459.46"
Interest Expenses,"7,604.85","8,288.54","12,267.39"
Net Interest Income,"3,876.88","5,242.35","8,192.08"
Fee and commission income,933.46,"1,181.10","1,472.14"
Fee and commission expense,174.78,216.43,242.01
Net Fee and commission income,758.68,964.66,"1,230.13"
"Net Interest, Fee and commission income","4,635.56","6,207.01","9,422.21"
Net trading income,261.96,412.13,579.52
Other operating income,198.16,163.06,206.65
