0,1,2,3
,,,
Total Liabilities and Equity,"152,240.86","173,383.95","361,665.77"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"9,377.43","13,060.13","19,066.47"
Interest Expense,"5,920.59","9,299.76","13,379.78"
Net Interest Income,"3,456.84","3,760.37","5,686.69"
Fees and commission income,979.86,"1,156.58","1,214.35"
Fees and commission expense,104.30,199.46,230.93
Net fee and commission income,875.56,957.11,983.42
"Net interest, fee and commission income","4,332.40","4,717.48","6,670.11"
Net trading income,340.54,270.71,214.11
Other operating income,500.37,338.50,504.77
Total operating income,"5,173.31","5,326.69","7,389.00"
Impairment charge/(reversal) for loans and other losses,492.21,554.17,"1,060.70"
Net operating income,"4,681.10","4,772.52","6,328.30"
Personnel expenses,"1,573.59","1,610.73","1,884.06"
Other operating expenses,682.48,677.87,821.75
Depreciation and Amortization,188.94,329.80,346.45
Operating Profit,"2,236.09","2,154.12","3,276.04"
Non-operating income,4.45,10.46,8.37
Non-operating expense,11.45,36.90,240.38
Profit before income tax,"2,229.09","2,127.67","3,044.03"
Income Tax Expense,,,
Current Tax,674.67,674.31,921.72
Deferred Tax,(21.34),(60.09),(162.92)
Profit for the period,"1,575.76","1,513.45","2,285.24"
