0,1,2,3
9. Everest Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"8,667.84","10,065.42","7,759.12"
Due from Nepal Rastra Bank,"14,577.08","18,938.75","23,304.57"
Placement with Bank and Financial Institutions,"3,350.75","3,291.00",548.50
Derivative financial instruments,-,-,"1,486.22"
Other trading assets,-,-,-
Loan and advances to B/FIs,"3,291.10","4,254.68","7,362.98"
Loans and advances to customers,"75,695.62","89,927.57","104,644.20"
Investment securities,"7,652.70","15,292.31","21,434.20"
Current tax assets,17.59,10.92,75.09
Investment in susidiaries,-,-,-
Investment in associates,199.95,259.67,314.44
Investment property,7.34,2.20,21.04
Property and equipment,"1,663.29","1,862.23","2,116.00"
Goodwill and Intangible assets,7.17,12.93,37.77
Deferred tax assets,-,-,-
Other assets,"1,815.83",893.47,973.41
TOTAL ASSETS,"116,946.28","144,811.15","170,077.53"
Due to Bank and Financial Institutions,"1,074.61",916.08,609.22
Due to Nepal Rastra Bank,14.76,26.71,"1,206.07"
Derivative financial instruments,-,0.02,"1,446.39"
Deposits from customers,"94,091.89","115,511.71","129,568.15"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,181.65,77.26,92.88
Other liabilities,"7,307.01","11,076.02","18,460.92"
Debt securities issued,"1,068.85","1,068.85","1,068.85"
Subordinated Liabilities,-,-,-
Equity,,,
Share capital,"5,741.10","8,106.86","8,106.86"
Share premium,-,238.47,238.47
