0,1,2,3
. Nepal Investment Bank Limited,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"13,520.57","7,538.03","7,012.72"
Due from Nepal Rastra Bank,"10,860.92","14,321.97","7,417.25"
Placement with Bank and Financial Institutions,"8,498.97","7,964.99","8,136.78"
Derivative financial instruments,436.89,133.98,36.75
Other trading assets,-,-,-
Loan and advances to B/FIs,"4,274.42","4,920.06","5,094.85"
Loans and advances to customers,"122,866.55","135,082.10","156,816.68"
