0,1,2,3
Fee and commission income,947.49,"1,142.90","1,354.17"
Fee and commission expense,100.67,131.04,191.03
Net Fee and commission income,846.82,"1,011.86","1,163.14"
"Net Interest, Fee and commission income","4,708.71","5,363.35","6,041.18"
Net trading income,282.16,258.09,216.65
Other operating income,70.13,196.39,95.05
Total operating income,"5,061.01","5,817.83","6,352.88"
Impairment charge/(reversal) for loans and other losses,587.92,497.80,501.23
Net operating income,"4,473.08","5,320.03","5,851.65"
Personnel expenses,"1,502.91","1,769.51","1,923.72"
Other operating expenses,888.44,890.79,"1,096.38"
Depreciation & Amortization,161.26,190.20,376.43
Operating Profit,"1,920.47","2,469.53","2,455.11"
Non-operating income,8.07,9.77,34.47
Non-operating expense,67.52,198.96,62.89
Profit before income tax,"1,861.02","2,280.34","2,426.69"
Income Tax Expense,,,-
Current Tax,612.52,676.12,746.99
Deferred Tax,(16.65),(3.25),(6.95)
Profit for the Period,"1,265.15","1,607.47","1,686.66"
