0,1,2,3
2. Rastriya Banijya Bank,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"28,333.12","27,028.52","7,093.86"
Due from Nepal Rastra Bank,"9,645.49","15,772.41","17,905.69"
Placement with Bank and Financial Institutions,-,-,48.12
Derivative financial instruments,-,-,-
Other trading assets,-,-,-
Loan and advances to B/FIs,"4,045.98","4,554.44","4,456.75"
Loans and advances to customers,"117,414.16","144,454.64","150,808.04"
Investment securities,"24,469.66","21,136.97","74,770.09"
Current tax assets,624.46,"1,882.58","2,635.53"
Investment in subsidiaries,200.00,200.00,200.00
Investment in associates,230.09,202.01,97.86
Investment property,57.27,114.81,109.38
