0,1,2,3
1. Consolidated Financials of the State Owned Banks,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalent,"20,831.60","27,908.42","54,608.33"
Due from Nepal Rastra Bank,"29,473.52","49,520.43","72,409.48"
Placement with Bank and Financial Institutions,618.93,582.51,"9,329.69"
Derivative financial instruments,595.79,28.91,"7,095.16"
Other trading assets,"1,152.77","1,058.69","1,315.46"
Loan and advances to B/FIs,"26,817.09","25,267.23","22,166.67"
Loans and advances to customers,"554,979.24","582,169.12","643,880.29"
Investment securities,"154,086.14","190,447.82","266,630.11"
Current tax assets,"6,553.20","6,296.29",429.01
Investment in subsidiaries,228.84,428.84,"2,944.25"
Investment in associates,275.50,"3,546.40","8,521.04"
Investment property,538.40,643.74,"1,454.41"
Property and equipment,"18,635.72","46,016.78","46,008.64"
Goodwill and Intangible assets,317.61,220.89,116.15
Deferred tax assets,52.15,-,-
Other assets,"21,348.42","22,292.23","24,001.94"
TOTAL ASSETS,"836,504.92","956,428.31","1,160,910.63"
Liabilities,"735,005.34","835,373.67","1,038,897.70"
Due to Bank and Financial Institutions,"13,838.26","4,701.05","2,200.69"
Due to Nepal Rastra Bank,"39,731.31",74.57,-
Derivative financial instruments,508.07,8.54,"7,056.86"
Deposits from customers,"620,810.71","765,655.55","955,900.17"
Borrowing,"9,141.39","2,458.86","2,724.57"
Current Tax Liabilities,-,-,-
Provisions,441.68,570.39,473.68
Deferred tax liabilities,"4,589.16","12,021.94","11,368.40"
Other liabilities,"19,374.78","23,414.30","32,700.79"
Debt securities issued,"26,569.97","26,468.46","26,472.54"
Subordinated Liabilities,-,-,-
Equity,"101,499.59","121,054.63","122,012.94"
Share capital,"47,966.89","49,215.79","49,215.79"
Share premium,-,-,-
Retained earnings,"8,807.43","2,161.97",(51.14)
Reserves,"44,725.26","69,676.88","72,848.29"
Total Liabilities and Equity,"836,504.92","956,428.31","1,160,910.63"
,,,
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest Income,"56,712.29","79,379.20","82,472.07"
Interest Expenses,"32,345.82","49,960.36","52,482.10"
Net Interest Income,"24,366.47","29,418.84","29,989.98"
Fee and commission income,"3,452.64","3,482.96","3,917.50"
Fee and commission expense,487.34,829.18,920.77
Net Fee and commission income,"2,965.30","2,653.77","2,996.72"
"Net Interest, Fee and commission income","27,331.78","32,072.61","32,986.70"
Net trading income,457.87,191.31,188.43
