0,1,2,3
Fee and commission income,"3,520.46","3,544.73","3,452.64"
Fee and commission expense,244.35,372.47,487.34
Net Fee and commission income,"3,276.11","3,172.26","2,965.30"
"Net Interest, Fee and commission income","25,059.45","24,667.86","27,331.78"
Net trading income,859.47,"1,612.43",457.87
Other operating income,971.27,"1,511.13","1,498.92"
Total operating income,"26,890.19","27,791.42","28,823.64"
Impairment charge/(reversal) for loans and other losses,"1,557.38","1,342.43","2,202.14"
Net operating income,"25,332.81","26,449.00","26,621.50"
Personnel expenses,"8,354.24","8,696.63","9,475.95"
Other operating expenses,"2,887.06","3,179.85","2,715.14"
Depreciation & Amortization,585.33,690.55,"1,371.15"
Operating Profit,"13,506.18","13,881.97","13,059.27"
Non-operating income,703.63,644.04,737.29
Non-operating expense,0.04,3.21,172.33
Profit before income tax,"14,209.77","14,522.79","13,624.23"
Income Tax Expense,-,-,-
Current Tax,"3,152.06","3,210.15","4,167.75"
Deferred Tax,"1,015.77","1,400.25",14.62
Profit for the Period,"10,041.94","9,912.40","9,441.87"
