0,1,2,3
8. Nepal Bangladesh Bank Limited,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"3,706.00","2,613.36","3,179.29"
Due from Nepal Rastra Bank,"6,890.13","6,762.11","13,485.57"
Placement with Bank and Financial Institutions,"2,259.78","3,535.63","2,503.88"
Derivative financial instruments,30.81,31.23,29.99
Other trading assets,93.21,95.22,89.03
Loan and advances to B/FIs,"1,380.57","1,768.83","1,686.99"
Loans and advances to customers,"40,878.52","52,729.58","58,966.52"
Investment securities,"4,766.33","5,923.67","7,023.08"
Current tax assets,61.03,26.99,120.47
Investment in subsidiaries,200.00,200.00,220.00
Investment in associates,-,-,-
Investment property,87.83,346.44,367.78
Property and equipment,371.54,"1,502.20","1,541.87"
Goodwill and Intangible assets,23.84,20.43,48.45
Deferred tax assets,22.31,6.39,2.85
Other assets,605.25,"2,562.48",500.08
TOTAL ASSETS,"61,377.14","78,124.56","89,765.84"
Due to Bank and Financial Institutions,-,-,"6,757.60"
Due to Nepal Rastra Bank,333.99,745.79,143.21
Derivative financial instruments,-,-,-
Deposits from customers,"48,052.95","59,827.53","66,435.05"
Borrowing,-,329.10,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"1,252.65","2,780.66","1,339.89"
Debt securities issued,-,"1,992.98","1,993.68"
Subordinated Liabilities,-,-,-
Equity,"11,737.55","12,448.50","13,096.41"
Share capital,"8,088.30","8,088.30","8,495.81"
Share premium,-,-,-
Retained earnings,941.46,"1,039.76",488.39
Reserves,"2,707.79","3,320.44","4,112.20"
TOTAL EQUITY AND LIABILITIES,"61,377.14","78,124.56","89,765.84"
Interest Income,"5,427.43","6,938.71","7,446.39"
Interest Expenses,"3,456.81","4,024.37","4,601.65"
