0,1,2,3
11. Nepal Credit and Commerce Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,3414.10,3461.98,5125.40
Due from Nepal Rastra Bank,10482.21,4826.76,6893.48
Placement with Bank and Financial Institutions,-,-,636.55
Derivative financial instruments,-,-,1040.84
Other trading assets,-,-,0.00
Loan and advances to B/FIs,48257.32,55318.63,2382.57
Loans and advances to customers,-,-,60850.93
Investment securities,5982.02,8812.27,8875.73
Current tax assets,-,-,0.00
Investment in subsidiaries,-,-,0.00
Investment in associates,-,-,34.50
Investment property,-,-,890.71
Property and equipment,718.76,716.78,942.41
Goodwill and Intangible assets,2.33,2.16,12.54
Deferred tax assets,-,,130.67
Other assets,1873.19,3606.83,902.52
TOTAL ASSETS,70729.92,76745.41,88718.84
Due to Bank and Financial Institutions,-,-,6352.63
Due to Nepal Rastra Bank,-,-,1244.46
Derivative financial instruments,-,-,962.69
Deposits from customers,58875.50,63519.76,67035.62
Borrowing,779.23,684.91,0.00
Current Tax Liabilities,-,-,59.21
Provisions,-,-,0.00
Deferred tax liabilities,-,-,0.00
Other liabilities,1928.11,2699.37,1056.17
Debt securities issued,-,-,0.00
Subordinated Liabilities,-,-,0.00
