0,1,2,3
Particulars,2017-18,2018-19,2019-20
Share premium,929.93,-,-
Retained earnings,858.23,"1,374.92",955.20
Reserves,"3,610.19","4,528.00","4,808.47"
TOTAL EQUITY AND LIABILITIES,"91,206.81","100,918.63","109,583.13"
Interest Income,"8,365.62","9,807.55","9,988.56"
Interest Expenses,"5,306.50","6,027.66","6,405.72"
Net Interest Income,"3,059.13","3,779.89","3,582.84"
Fee and commission income,539.95,520.28,543.66
Fee and commission expense,50.32,60.13,54.35
Net Fee and commission income,489.64,460.16,489.32
"Net Interest, Fee and commission income","3,548.76","4,240.05","4,072.16"
Net trading income,225.71,322.25,322.27
Other operating income,140.66,100.23,52.22
Total operating income,"3,915.13","4,662.53","4,446.65"
Impairment charge/(reversal) for loans and other losses,465.94,64.56,537.68
Net operating income,"3,449.19","4,597.98","3,908.97"
Personnel expenses,"1,030.30","1,159.36","1,114.24"
Other operating expenses,442.10,528.45,564.08
Depreciation &Amortization,102.90,165.32,115.45
Operating Profit,"1,873.89","2,744.84","2,115.20"
Non-operating income,19.53,35.61,12.50
Non-operating expense,0.19,-,-
Profit before income tax,"1,893.23","2,780.45","2,127.70"
Income Tax Expense,,,652.13
Current Tax,566.14,905.19,676.17
Deferred Tax,5.90,(21.70),(24.04)
Profit/Loss for the period,"1,321.19","1,896.96","1,475.57"
