0,1,2,3
Other operating income,243.19,216.63,352.54
Total operating income,"7,528.72","12,156.97","14,538.48"
Impairment Charge/ (Reversal) for Loans and Other Losses,430.58,"5,210.17","4,719.87"
Net operating income,"7,098.14","6,946.80","9,818.61"
Personnel expenses,"2,702.89","3,287.89","4,435.46"
Other operating expenses,"1,033.48","1,483.90","1,564.30"
Depreciation & Amortization,509.54,623.17,668.80
Operating Profit,"2,852.23","1,551.85","3,150.06"
Non operating income,14.37,23.17,2.17
Non operating expense,120.22,157.09,2.78
Profit before income tax,"2,746.38","1,417.92","3,149.45"
Income Tax Expense,-,-,-
Current Tax,"1,013.37","1,349.11","2,468.79"
Deferred Tax,(169.01),(211.41),169.81
Profit for the Period,"1,902.02",280.22,510.86
