0,1,2,3,4
S. N.,Loan Products,Percent of Total Loan (mid-July),,
,,2021,2022,2023
1,Term Loan,21.54,25.11,32.19
2,Overdraft,14.76,14.85,3.80
3,Cash Credit,-,-,11.44
4,Trust Receipt Loan/Import Loan,5.53,1.88,1.70
5,Demand and Other Working Capital Loan,23.04,23.70,19.68
6,Personal Residential Home Loan,6.70,6.68,6.47
7,Real Estate Loan,4.28,4.78,5.05
8,Margin Nature Loan,2.45,1.55,1.36
9,Hire Purchase Loan,3.63,3.15,3.20
10,Deprived Sector Loan,6.45,6.70,6.08
11,Bills Purchased,0.12,0.07,0.10
12,Other Product,11.51,11.53,8.92
,Total,100.00,100.00,100.00
