0,1,2,3
Particulars,2017-18,2018-19,2019-20
Net Fee and commission income,898.88,720.54,846.35
"Net Interest, Fee and commission income","2,869.50","4,270.30","4,708.25"
Net trading income,157.89,303.33,282.16
Other operating income,40.25,28.14,70.13
Total operating income,"3,067.63","4,601.77","5,060.54"
Impairment charge/(reversal) for loans and other losses,298.88,117.17,604.00
Net operating income,"2,768.75","4,484.60","4,456.54"
Personnel expenses,755.66,"1,230.38","1,501.24"
Other operating expenses,340.73,723.55,888.61
Depreciation &Amortization,72.28,130.39,161.26
Operating Profit,"1,600.08","2,400.28","1,905.43"
Non-operating income,16.76,121.90,8.07
Non-operating expense,6.70,94.89,67.52
Profit before income tax,"1,610.14","2,427.29","1,845.98"
Income Tax Expense,-,730.21,593.94
Current Tax,494.78,760.91,610.48
Deferred Tax,(28.67),30.71,(16.54)
Profit/Loss for the period,"1,144.04","1,697.09","1,252.04"
