0,1,2,3
Subordinated Liabilities,-,-,-
Equity,"17,403.02","20,935.39","23,943.77"
Share capital,"9,618.16","13,950.99","16,325.96"
Share premium,"2,512.80",120.17,-
Retained earnings,"1,780.33","1,737.22","2,515.34"
Reserves,"3,491.73","5,127.01","5,102.47"
TOTAL EQUITY AND LIABILITIES,"135,470.41","179,451.91","231,546.86"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"11,082.06","14,442.97","13,983.69"
Interest Expenses,"6,838.04","8,946.75","8,323.03"
Net Interest Income,"4,244.02","5,496.22","5,660.66"
Fee and commission income,"1,003.53",914.37,"1,177.64"
Fee and commission expense,93.96,107.92,138.02
Net Fee and commission income,909.58,806.45,"1,039.62"
"Net Interest, Fee and commission income","5,153.60","6,302.67","6,700.28"
Net trading income,352.05,384.16,364.11
Other operating income,210.37,215.36,351.97
Total operating income,"5,716.02","6,902.19","7,416.36"
Impairment charge/(reversal) for loans and other losses,166.27,"1,627.17",382.41
Net operating income,"5,549.75","5,275.03","7,033.95"
Personnel expenses,"1,415.79","1,647.50","2,089.70"
Other operating expenses,708.66,935.57,853.75
Depreciation &Amortization,176.80,241.68,269.48
Operating Profit,"3,248.50","2,450.27","3,821.02"
Non operating income,17.10,18.51,39.07
Non operating expense,17.60,33.98,15.21
Profit before income tax,"3,248.00","2,434.80","3,844.88"
Income Tax Expense,,,
Current Tax,994.17,725.59,"1,185.62"
Deferred Tax,(3.44),(3.56),(51.82)
Profit/Loss for the period,"2,257.28","1,712.78","2,711.07"
