0,1,2,3
Net Fee and commission income,964.66,"1,230.13","1,534.04"
"Net Interest, Fee and commission income","6,207.01","9,452.14","10,673.16"
Net trading income,412.13,579.52,666.46
Other operating income,163.06,196.81,611.28
Total operating income,"6,782.19","10,228.47","11,950.90"
Impairment charge/(reversal) for loans and other losses,198.19,"1,954.43","1,125.26"
Net operating income,"6,584.00","8,274.04","10,825.64"
Personnel expenses,"1,579.66","2,474.64","3,164.82"
Other operating expenses,859.41,"1,248.83","1,369.43"
Depreciation & Amortization,238.30,304.12,333.86
Operating Profit,"3,906.63","4,246.46","5,957.53"
Non operating income,27.29,0.64,10.55
Non operating expense,-,79.21,-
Profit before income tax,"3,933.92","4,167.89","5,968.08"
Income Tax Expense,,,
Current Tax,"1,202.57","1,294.60","1,844.54"
Deferred Tax,(30.61),(35.38),(41.62)
Profit/Loss for the period,"2,761.95","2,908.66","4,165.15"
