0,1,2,3
2. Consolidated Financials of the Non-state-owned Banks,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"247,921.60","234,812.28","283,865.95"
Due from Nepal Rastra Bank,"242,244.86","225,470.84","179,649.93"
Placement with Bank and Financial Institutions,"49,376.73","59,029.71","36,741.03"
Derivative financial instruments,"52,384.23","58,418.82","10,007.08"
Other trading assets,"1,352.94","1,372.37","1,827.16"
Loan and advances to B/FIs,"98,656.43","129,520.13","142,631.56"
Loans and advances to customers,"2,402,504.91","3,072,155.43","3,429,019.30"
Investment securities,"392,243.50","572,366.52","717,698.16"
Current tax assets,"9,769.80","7,592.20","8,693.17"
Investment in subsidiaries,"5,670.61","5,728.38","5,928.38"
Investment in associates,"3,015.28","4,576.68","3,562.03"
Investment property,"5,406.60","6,339.60","8,136.70"
Property and equipment,"38,406.06","40,153.77","57,312.10"
Goodwill and Intangible assets,"2,116.25","2,098.11","3,026.80"
Deferred tax assets,"1,415.81","1,482.80","1,905.32"
Other assets,"36,264.72","46,879.02","65,067.33"
,,,
Total Assets,"3,588,750.34","4,467,996.64","4,955,072.00"
,,,
Liabilities,"3,188,936.74","4,004,675.11","4,444,245.00"
Due to Bank and Financial Institutions,"123,121.70","140,064.61","100,989.21"
Due to Nepal Rastra Bank,"16,530.45","102,608.92","188,358.67"
Derivative financial instruments,"51,406.21","58,133.67","10,156.63"
Deposits from customers,"2,851,905.67","3,496,729.98","3,841,149.06"
Borrowing,"14,300.38","25,973.29","66,858.72"
