0,1,2,3
8. Nepal SBI Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"8,426.35","10,160.63","12,235.88"
Due from Nepal Rastra Bank,"3,272.98","4,519.93","8,385.45"
Placement with Bank and Financial Institutions,-,-,"5,044.19"
Derivative financial instruments,-,33.91,3.51
Other trading assets,90.56,60.44,75.93
Loans and advances to BFIs,"4,586.77","5,183.05","5,621.62"
Loans and advances to customers,"96,951.27","105,394.04","116,302.29"
Investment securities,"21,246.99","23,575.97","33,878.74"
Current tax assets,410.02,403.89,539.77
Investment in subsidiaries,188.89,188.89,188.89
Investment in associates,-,-,-
Investment property,-,-,-
Property and equipment,873.43,"1,053.95","2,066.01"
Goodwill and Intangible assets,5.26,6.97,8.19
Deferred tax assets,389.99,322.16,379.71
Other assets,"1,366.27","2,198.99","1,227.97"
Total Assets,"137,808.77","153,102.80","185,958.13"
,,,
Liabilities,"122,408.70","135,989.37","167,691.43"
Due to Bank and Financial Institutions,"6,093.68","4,467.40","4,009.72"
Due to Nepal Rastra Bank,"4,265.51","1,303.50",-
Derivative Financial Instrument,20.18,,-
Deposits from customers,"106,238.47","119,710.21","150,828.38"
Borrowings,-,"3,853.81","4,017.90"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"2,762.17","4,025.37","4,208.43"
Debt securities issued,"3,028.70","2,629.09","4,627.00"
Subordinated Liabilities,-,-,-
,,,
Equity,"15,400.07","17,113.43","18,266.70"
Share Capital,"9,493.58","9,825.85","10,120.63"
Share premium,-,-,-
Retained earnings,889.62,"1,454.16","1,070.55"
Reserves,"5,016.87","5,833.42","7,075.52"
,,,
