0,1,2,3
Borrowing,60.06,60.00,60.00
Current Tax Liabilities,-,-,-
Provisions,375.14,436.94,375.72
Deferred tax liabilities,,-                847.76,320.00
Other liabilities,"9,839.36","7,450.91","7,247.15"
Debt securities issued,,"-             2,517.47","2,607.12"
Subordinated Liabilities,-,-,-
,,,
Equity,"23,029.54","28,674.30","32,678.94"
Share capital,"9,004.80","10,184.89","14,940.36"
Share premium,-,-,-
Retained earnings,761.61,"3,453.80","1,863.44"
Reserves,"13,263.13","15,035.60","15,875.14"
,,,
Total Liabilities and Equity,"266,766.26","309,987.46","330,242.80"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"17,160.17","16,229.11","20,689.74"
Interest Expense,"7,711.77","8,019.66","11,393.79"
Net Interest Income,"9,448.40","8,209.45","9,295.95"
Fees and commission income,828.48,978.00,"1,019.60"
Fees and commission expense,174.58,258.24,349.34
Net Fee and commission income,653.90,719.76,670.26
"Net Interest, Fee and commission income","10,102.30","8,929.21","9,966.21"
Net trading income,54.73,161.28,27.27
Other operating income,541.22,633.44,993.97
Total operating income,"10,698.26","9,723.93","10,987.44"
Impairment charge/(reversal) for loans and other losses,160.53,723.38,355.72
Net operating income,"10,537.73","9,000.55","10,631.72"
Personnel expenses,"3,103.92","3,031.78","3,200.13"
Other operating expense,"1,276.22","1,234.09","1,055.09"
Depreciation & Amortization,217.93,237.69,559.10
Operating Profit,"5,939.66","4,496.99","5,817.40"
Non-operating income,295.10,391.04,430.43
Non-operating expense,-,,-                120.78
Profit before income tax,"6,234.76","4,888.03","6,127.05"
Income Tax Expense,-,-,-
Current Tax,"1,304.37",589.44,"1,499.40"
Deferred Tax,553.07,874.96,334.82
Profit for the Period,"4,377.32","3,423.63","4,292.82"
