0,1,2,3
Derivative financial instruments,8.54,"7,056.86","12,041.21"
Deposits from customers,"765,655.55","955,900.17","1,125,866.03"
Borrowing,"2,458.86","2,724.57","2,864.66"
Current Tax Liabilities,-,-,-
Provisions,570.39,473.68,467.51
Deferred tax liabilities,"12,021.94","11,368.40","11,607.16"
Other liabilities,"23,414.30","32,700.79","27,633.51"
Debt securities issued,"26,468.46","26,472.54","28,978.01"
Subordinated Liabilities,-,-,-
Equity,"121,054.63","122,012.94","128,412.47"
Share capital,"49,215.79","49,215.79","49,619.34"
Share premium,-,-,-
Retained earnings,"2,161.97",(51.14),547.84
Reserves,"69,676.88","72,848.29","78,245.29"
Total Liabilities and Equity,"956,428.31","1,160,910.63","1,345,815.82"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"79,379.20","82,389.52","73,157.13"
Interest Expenses,"49,960.36","53,171.73","43,039.25"
Net Interest Income,"29,418.84","29,217.79","30,117.88"
Fee and commission income,"3,482.96","4,239.15","4,950.13"
Fee and commission expense,829.18,965.76,"1,177.14"
Net Fee and commission income,"2,653.77","3,273.39","3,772.99"
"Net Interest, Fee and commission income","32,072.61","32,491.18","33,890.87"
Net trading income,191.31,223.24,894.28
Other operating income,"1,231.53","1,377.93","1,997.22"
Total operating income,"33,495.46","34,092.36","36,782.38"
Impairment  charge/(reversal)  for loans  and  other losses,"5,180.13","8,353.89","5,119.56"
Net operating income,"28,315.33","25,738.46","31,662.82"
Personnel expenses,"11,473.51","12,062.33","13,209.32"
Other operating expenses,"3,078.18","3,293.62","3,483.68"
Depreciation & Amortization,"1,427.54","1,469.93","1,368.98"
Operating Profit,"12,336.10","8,912.58","13,600.85"
Non operating income,294.02,190.66,93.68
Non operating expense,26.37,53.76,7.10
