0,1,2,3,4,5
,Rs. in Billion,,,Percentage Change,
,2017/18,2018/19,2019/20,2018/19,2019/20
Deposits,,,,,
Private,"2,014.18","2,363.75","2,969.54",17.36%,25.63%
Public,457.33,515.05,519.85,12.62%,0.93%
Total,2471.51,2878.80,"3,489.39",16.48%,21.21%
Loans and Advances,,,,,
Private,"1,780.08","2,127.33","2,514.48",19.51%,18.20%
Public,300.28,354.83,389.11,18.17%,9.6%
Total,"2,080.36","2,482.16","2,903.59",19.29%,16.98%
Assets,,,,,
Private,"2,502.06","2,995.33","3,610.59",23.30%,20.54%
Public,466.22,553.49,636.23,18.72%,14.95%
Total,"2,968.28","3,548.82","4,246.83",19.56%,19.67%
